Nacionalidad,Aeropuerto,Entradas
Costa Rica,"Torreón, Coah.",128
Costa Rica,"Tuxtla Gutiérrez, Chis.",21
Costa Rica,"Uruapan, Mich.",1
Costa Rica,"Veracruz, Ver.",119
Costa Rica,"Villahermosa, Tab.",121
Costa Rica,"Zacatecas, Zac.",11
Costa Rica,"Zihuatanejo, Gro.",54
Croacia,"Acapulco, Gro.",21
Croacia,"Aguascalientes, Ags.",16
Croacia,"Cabo San Lucas, B.C.S.",6
Croacia,"Cancún, Q. Roo",14350
Croacia,"Chihuahua, Chih.",22
Croacia,Ciudad de México (AICM),16656
Croacia,"Ciudad del Carmen, Camp.",69
Croacia,"Ciudad Victoria, Tamps.",2
Croacia,"Cozumel, Q. Roo",458
Croacia,"Ensenada, B.C.",2
Croacia,"Felipe Ángeles (AIFA), Edo. Mex.",1
Croacia,"Guadalajara, Jal.",254
Croacia,"Guaymas, Son.",2
Croacia,"Hermosillo, Son.",13
Croacia,"Huatulco, Oax.",17
Croacia,"La Paz, B.C.S.",4
Croacia,"Loreto, B.C.S.",4
Croacia,"Los Cabos, B.C.S.",654
Croacia,"Manzanillo, Col.",11
Croacia,"Matamoros, Tamps.",1
Croacia,"Mazatlán, Sin.",48
Croacia,"Mérida, Yuc.",58
Croacia,"Monterrey, N.L.",309
Croacia,"Morelia, Mich.",3
Croacia,"Oaxaca, Oax.",8
Croacia,"Puebla, Pue.",8
Croacia,"Puerto Peñasco, Son.",1
Croacia,"Puerto Vallarta, Jal.",554
Croacia,"Querétaro, Qro.",54
Croacia,"San Luis Potosí, S.L.P.",45
Croacia,"Silao, Gto.",66
Croacia,"Tampico, Tamps.",150
Croacia,"Tijuana, B.C.",4
Croacia,"Toluca, Edo. Mex.",6
Croacia,"Torreón, Coah.",2
Croacia,"Veracruz, Ver.",47
Croacia,"Villahermosa, Tab.",23
Croacia,"Zihuatanejo, Gro.",12
Cuba,"A.I. Tepic Amado Nervo, Nay.",90
Cuba,"Acapulco, Gro.",24
Cuba,"Aguascalientes, Ags.",122
Cuba,"Cabo San Lucas, B.C.S.",1
Cuba,"Campeche, Camp.",74
Cuba,"Cancún, Q. Roo",546947
Cuba,"Chetumal, Q. Roo",13
Cuba,"Chichen-Itzá, Yuc.",27
Cuba,"Chihuahua, Chih.",91
Cuba,Ciudad de México (AICM),418070
Cuba,"Ciudad del Carmen, Camp.",30
Cuba,"Ciudad Juárez, Chih.",4351
Cuba,"Ciudad Obregón, Son.",9
Cuba,"Ciudad Victoria, Tamps.",1
Cuba,"Cozumel, Q. Roo",609
Cuba,"Cuernavaca, Mor.",2
Cuba,"Culiacán, Sin.",14
Cuba,"Del Norte, N.L.",19
Cuba,"Durango, Dgo.",37
Cuba,"Ensenada, B.C.",1
Cuba,"Felipe Ángeles (AIFA), Edo. Mex.",1038
Cuba,"Guadalajara, Jal.",3387
Cuba,"Hermosillo, Son.",77
Cuba,"Huatulco, Oax.",17
Cuba,"La Paz, B.C.S.",4
Cuba,"Loreto, B.C.S.",6
Cuba,"Los Cabos, B.C.S.",2046
Cuba,"Manzanillo, Col.",72
Cuba,"Matamoros, Tamps.",1
Cuba,"Mazatlán, Sin.",104
Cuba,"Mérida, Yuc.",39434
Cuba,"Monterrey, N.L.",15041
Cuba,"Morelia, Mich.",93
Cuba,"Oaxaca, Oax.",89
Cuba,"Puebla, Pue.",65
Cuba,"Puerto Peñasco, Son.",1
Cuba,"Puerto Vallarta, Jal.",1415
Cuba,"Querétaro, Qro.",204
Cuba,"Reynosa, Tamps.",2
Cuba,"Saltillo, Coah.",2
Cuba,"San Felipe, B.C.",2
Cuba,"San Luis Potosí, S.L.P.",76
Cuba,"Silao, Gto.",239
Cuba,"Tampico, Tamps.",47
Cuba,"Tapachula, Chis.",18
Cuba,"Tijuana, B.C.",78
Cuba,"Toluca, Edo. Mex.",293
Cuba,"Torreón, Coah.",35
Cuba,"Uruapan, Mich.",4
Cuba,"Veracruz, Ver.",1115
Cuba,"Villahermosa, Tab.",63
Cuba,"Zacatecas, Zac.",21
Cuba,"Zihuatanejo, Gro.",22
Dinamarca,"Acapulco, Gro.",47
Dinamarca,"Aguascalientes, Ags.",170
Dinamarca,"Cabo San Lucas, B.C.S.",30
Dinamarca,"Cancún, Q. Roo",84405
Dinamarca,"Chihuahua, Chih.",112
Dinamarca,Ciudad de México (AICM),78203
Dinamarca,"Ciudad del Carmen, Camp.",75
Dinamarca,"Ciudad Juárez, Chih.",1
Dinamarca,"Cozumel, Q. Roo",524
Dinamarca,"Cuernavaca, Mor.",6
Dinamarca,"Culiacán, Sin.",1
Dinamarca,"Del Norte, N.L.",29
Dinamarca,"Durango, Dgo.",5
Dinamarca,"Ensenada, B.C.",11
Dinamarca,"Felipe Ángeles (AIFA), Edo. Mex.",1
Dinamarca,"Guadalajara, Jal.",2169
Dinamarca,"Guaymas, Son.",1
Dinamarca,"Hermosillo, Son.",84
Dinamarca,"Huatulco, Oax.",55
Dinamarca,"La Paz, B.C.S.",33
Dinamarca,"Loreto, B.C.S.",106
Dinamarca,"Los Cabos, B.C.S.",3969
Dinamarca,"Manzanillo, Col.",72
Dinamarca,"Matamoros, Tamps.",1
Dinamarca,"Mazatlán, Sin.",154
Dinamarca,"Mérida, Yuc.",354
Dinamarca,"Monterrey, N.L.",4382
Dinamarca,"Morelia, Mich.",65
Dinamarca,"Oaxaca, Oax.",148
Dinamarca,"Puebla, Pue.",63
Dinamarca,"Puerto Vallarta, Jal.",3173
Dinamarca,"Querétaro, Qro.",388
Dinamarca,"Saltillo, Coah.",11
Dinamarca,"San Felipe, B.C.",5
Dinamarca,"San Luis Potosí, S.L.P.",259
Dinamarca,"Silao, Gto.",473
Dinamarca,"Tampico, Tamps.",136
Dinamarca,"Tapachula, Chis.",43
Dinamarca,"Tijuana, B.C.",29
Dinamarca,"Toluca, Edo. Mex.",148
Dinamarca,"Torreón, Coah.",59
Dinamarca,"Tuxtla Gutiérrez, Chis.",5
Dinamarca,"Veracruz, Ver.",206
Dinamarca,"Villahermosa, Tab.",103
Dinamarca,"Zacatecas, Zac.",7
Dinamarca,"Zihuatanejo, Gro.",233
Djibouti,"Cancún, Q. Roo",27
Djibouti,Ciudad de México (AICM),58
Djibouti,"Cozumel, Q. Roo",2
Djibouti,"Guadalajara, Jal.",1
Djibouti,"Los Cabos, B.C.S.",1
Djibouti,"Monterrey, N.L.",2
Djibouti,"Puerto Vallarta, Jal.",8
Dominica (Comonwealth),"Aguascalientes, Ags.",6
Dominica (Comonwealth),"Cancún, Q. Roo",757
Dominica (Comonwealth),Ciudad de México (AICM),598
Dominica (Comonwealth),"Ciudad del Carmen, Camp.",2
Dominica (Comonwealth),"Cozumel, Q. Roo",27
Dominica (Comonwealth),"Durango, Dgo.",1
Dominica (Comonwealth),"Guadalajara, Jal.",48
Dominica (Comonwealth),"Hermosillo, Son.",2
Dominica (Comonwealth),"Loreto, B.C.S.",1
Dominica (Comonwealth),"Los Cabos, B.C.S.",70
Dominica (Comonwealth),"Manzanillo, Col.",1
Dominica (Comonwealth),"Mérida, Yuc.",11
Dominica (Comonwealth),"Monterrey, N.L.",27
Dominica (Comonwealth),"Morelia, Mich.",2
Dominica (Comonwealth),"Puebla, Pue.",2
Dominica (Comonwealth),"Puerto Vallarta, Jal.",74
Dominica (Comonwealth),"Querétaro, Qro.",3
Dominica (Comonwealth),"Silao, Gto.",8
Dominica (Comonwealth),"Veracruz, Ver.",1
Dominica (Comonwealth),"Zihuatanejo, Gro.",1
"Dominicana, Rep.","Acapulco, Gro.",39
"Dominicana, Rep.","Aguascalientes, Ags.",217
"Dominicana, Rep.","Cabo San Lucas, B.C.S.",25
"Dominicana, Rep.","Campeche, Camp.",3
"Dominicana, Rep.","Cancún, Q. Roo",60491
"Dominicana, Rep.","Chetumal, Q. Roo",2
"Dominicana, Rep.","Chihuahua, Chih.",262
"Dominicana, Rep.",Ciudad de México (AICM),98772
"Dominicana, Rep.","Ciudad del Carmen, Camp.",5
"Dominicana, Rep.","Ciudad Obregón, Son.",6
"Dominicana, Rep.","Cozumel, Q. Roo",1290
"Dominicana, Rep.","Culiacán, Sin.",113
"Dominicana, Rep.","Del Norte, N.L.",9
"Dominicana, Rep.","Durango, Dgo.",27
"Dominicana, Rep.","Ensenada, B.C.",1
"Dominicana, Rep.","Felipe Ángeles (AIFA), Edo. Mex.",696
"Dominicana, Rep.","Guadalajara, Jal.",4858
"Dominicana, Rep.","Guaymas, Son.",1
"Dominicana, Rep.","Hermosillo, Son.",101
"Dominicana, Rep.","Huatulco, Oax.",9
"Dominicana, Rep.","La Paz, B.C.S.",4
"Dominicana, Rep.","Loreto, B.C.S.",5
"Dominicana, Rep.","Los Cabos, B.C.S.",1853
"Dominicana, Rep.","Manzanillo, Col.",6
"Dominicana, Rep.","Mazatlán, Sin.",269
"Dominicana, Rep.","Mérida, Yuc.",743
"Dominicana, Rep.","Minatitlán, Ver.",11
"Dominicana, Rep.","Monclova, Coah.",3
"Dominicana, Rep.","Monterrey, N.L.",4380
"Dominicana, Rep.","Morelia, Mich.",69
"Dominicana, Rep.","Nuevo Laredo, Tamps.",2
"Dominicana, Rep.","Oaxaca, Oax.",50
"Dominicana, Rep.","Piedras Negras, Coah.",1
"Dominicana, Rep.","Puebla, Pue.",153
"Dominicana, Rep.","Puerto Vallarta, Jal.",1217
"Dominicana, Rep.","Querétaro, Qro.",446
"Dominicana, Rep.","Saltillo, Coah.",7
"Dominicana, Rep.","San Luis Potosí, S.L.P.",111
"Dominicana, Rep.","Silao, Gto.",436
"Dominicana, Rep.","Tampico, Tamps.",38
"Dominicana, Rep.","Tapachula, Chis.",101
"Dominicana, Rep.","Tijuana, B.C.",29
"Dominicana, Rep.","Toluca, Edo. Mex.",236
"Dominicana, Rep.","Torreón, Coah.",202
"Dominicana, Rep.","Tuxtla Gutiérrez, Chis.",5
"Dominicana, Rep.","Veracruz, Ver.",563
"Dominicana, Rep.","Villahermosa, Tab.",51
"Dominicana, Rep.","Zacatecas, Zac.",25
"Dominicana, Rep.","Zihuatanejo, Gro.",11
Ecuador,"Acapulco, Gro.",54
Ecuador,"Aguascalientes, Ags.",274
Ecuador,"Cabo San Lucas, B.C.S.",10
Ecuador,"Cancún, Q. Roo",174289
Ecuador,"Chetumal, Q. Roo",4
Ecuador,"Chichen-Itzá, Yuc.",5531
Ecuador,"Chihuahua, Chih.",128
Ecuador,Ciudad de México (AICM),614465
Ecuador,"Ciudad del Carmen, Camp.",145
Ecuador,"Ciudad Juárez, Chih.",24
Ecuador,"Ciudad Obregón, Son.",5
Ecuador,"Cozumel, Q. Roo",481
Ecuador,"Cuernavaca, Mor.",12
Ecuador,"Culiacán, Sin.",7
Ecuador,"Del Norte, N.L.",8
Ecuador,"Durango, Dgo.",26
Ecuador,"Ensenada, B.C.",1
Ecuador,"Felipe Ángeles (AIFA), Edo. Mex.",77
Ecuador,"Guadalajara, Jal.",11819
Ecuador,"Guaymas, Son.",1
Ecuador,"Hermosillo, Son.",106
Ecuador,"Huatulco, Oax.",10
Ecuador,"La Paz, B.C.S.",8
Ecuador,"Loreto, B.C.S.",30
Ecuador,"Los Cabos, B.C.S.",2409
Ecuador,"Manzanillo, Col.",42
Ecuador,"Matamoros, Tamps.",7
Ecuador,"Mazatlán, Sin.",133
Ecuador,"Mérida, Yuc.",586
Ecuador,"Mexicali, B. C.",4
Ecuador,"Minatitlán, Ver.",4
Ecuador,"Monterrey, N.L.",7759
Ecuador,"Morelia, Mich.",141
Ecuador,"Oaxaca, Oax.",100
Ecuador,"Puebla, Pue.",193
Ecuador,"Puerto Vallarta, Jal.",2423
Ecuador,"Querétaro, Qro.",593
Ecuador,"Saltillo, Coah.",7
Ecuador,"San Luis Potosí, S.L.P.",251
Ecuador,"Silao, Gto.",721
Ecuador,"Tampico, Tamps.",56
Ecuador,"Tapachula, Chis.",151
Ecuador,"Tijuana, B.C.",200
Ecuador,"Toluca, Edo. Mex.",913
Ecuador,"Torreón, Coah.",52
Ecuador,"Tuxtla Gutiérrez, Chis.",5
Ecuador,"Veracruz, Ver.",191
Ecuador,"Villahermosa, Tab.",408
Ecuador,"Zacatecas, Zac.",18
Ecuador,"Zihuatanejo, Gro.",26
Egipto,"Acapulco, Gro.",21
Egipto,"Aguascalientes, Ags.",26
Egipto,"Cabo San Lucas, B.C.S.",2
Egipto,"Cancún, Q. Roo",13964
Egipto,"Chetumal, Q. Roo",1
Egipto,"Chihuahua, Chih.",39
Egipto,Ciudad de México (AICM),10568
Egipto,"Ciudad del Carmen, Camp.",127
Egipto,"Ciudad Obregón, Son.",3
Egipto,"Cozumel, Q. Roo",110
Egipto,"Durango, Dgo.",7
Egipto,"Guadalajara, Jal.",405
Egipto,"Guaymas, Son.",1
Egipto,"Hermosillo, Son.",13
Egipto,"Huatulco, Oax.",4
Egipto,"La Paz, B.C.S.",2
Egipto,"Loreto, B.C.S.",3
Egipto,"Los Cabos, B.C.S.",1085
Egipto,"Manzanillo, Col.",4
Egipto,"Mazatlán, Sin.",35
Egipto,"Mérida, Yuc.",43
Egipto,"Monclova, Coah.",2
Egipto,"Monterrey, N.L.",496
Egipto,"Morelia, Mich.",11
Egipto,"Nuevo Laredo, Tamps.",1
Egipto,"Oaxaca, Oax.",16
Egipto,"Puebla, Pue.",11
Egipto,"Puerto Vallarta, Jal.",789
Egipto,"Querétaro, Qro.",44
Egipto,"Saltillo, Coah.",1
Egipto,"San Luis Potosí, S.L.P.",34
Egipto,"Silao, Gto.",196
Egipto,"Tampico, Tamps.",74
Egipto,"Tijuana, B.C.",6
Egipto,"Toluca, Edo. Mex.",25
Egipto,"Torreón, Coah.",18
Egipto,"Veracruz, Ver.",23
Egipto,"Villahermosa, Tab.",50
Egipto,"Zihuatanejo, Gro.",21
El Salvador,"Acapulco, Gro.",161
El Salvador,"Aguascalientes, Ags.",482
El Salvador,"Cabo San Lucas, B.C.S.",11
El Salvador,"Cancún, Q. Roo",66995
El Salvador,"Chetumal, Q. Roo",2
El Salvador,"Chihuahua, Chih.",193
El Salvador,Ciudad de México (AICM),400625
El Salvador,"Ciudad del Carmen, Camp.",11
El Salvador,"Ciudad Obregón, Son.",5
El Salvador,"Cozumel, Q. Roo",966
El Salvador,"Culiacán, Sin.",4
El Salvador,"Del Norte, N.L.",27
El Salvador,"Durango, Dgo.",116
El Salvador,"Felipe Ángeles (AIFA), Edo. Mex.",5
El Salvador,"Guadalajara, Jal.",16407
El Salvador,"Guaymas, Son.",3
El Salvador,"Hermosillo, Son.",150
El Salvador,"Huatulco, Oax.",48
El Salvador,"La Paz, B.C.S.",5
El Salvador,"Loreto, B.C.S.",34
El Salvador,"Los Cabos, B.C.S.",4562
El Salvador,"Manzanillo, Col.",120
El Salvador,"Matamoros, Tamps.",27
El Salvador,"Mazatlán, Sin.",529
El Salvador,"Mérida, Yuc.",818
El Salvador,"Mexicali, B. C.",14
El Salvador,"Monclova, Coah.",1
El Salvador,"Monterrey, N.L.",4200
El Salvador,"Morelia, Mich.",721
El Salvador,"Oaxaca, Oax.",264
El Salvador,"Puebla, Pue.",231
El Salvador,"Puerto Peñasco, Son.",6
El Salvador,"Puerto Vallarta, Jal.",4017
El Salvador,"Querétaro, Qro.",813
El Salvador,"Reynosa, Tamps.",2
El Salvador,"Saltillo, Coah.",10
El Salvador,"San Luis Potosí, S.L.P.",394
El Salvador,"Silao, Gto.",1552
El Salvador,"Tampico, Tamps.",145
El Salvador,"Tapachula, Chis.",1161
El Salvador,"Tijuana, B.C.",2938
El Salvador,"Toluca, Edo. Mex.",141
El Salvador,"Torreón, Coah.",123
El Salvador,"Tuxtla Gutiérrez, Chis.",32
El Salvador,"Uruapan, Mich.",56
El Salvador,"Veracruz, Ver.",382
El Salvador,"Villahermosa, Tab.",159
El Salvador,"Zacatecas, Zac.",251
El Salvador,"Zihuatanejo, Gro.",183
Emiratos Árabes Unidos,"Acapulco, Gro.",18
Emiratos Árabes Unidos,"Aguascalientes, Ags.",1
Emiratos Árabes Unidos,"Cabo San Lucas, B.C.S.",5
Emiratos Árabes Unidos,"Cancún, Q. Roo",2404
Emiratos Árabes Unidos,"Chihuahua, Chih.",6
Emiratos Árabes Unidos,Ciudad de México (AICM),1725
Emiratos Árabes Unidos,"Ciudad del Carmen, Camp.",1
Emiratos Árabes Unidos,"Cozumel, Q. Roo",7
Emiratos Árabes Unidos,"Del Norte, N.L.",4
Emiratos Árabes Unidos,"Guadalajara, Jal.",76
Emiratos Árabes Unidos,"Hermosillo, Son.",4
Emiratos Árabes Unidos,"Los Cabos, B.C.S.",279
Emiratos Árabes Unidos,"Mazatlán, Sin.",5
Emiratos Árabes Unidos,"Mérida, Yuc.",8
Emiratos Árabes Unidos,"Monterrey, N.L.",46
Emiratos Árabes Unidos,"Oaxaca, Oax.",6
Emiratos Árabes Unidos,"Puebla, Pue.",2
Emiratos Árabes Unidos,"Puerto Vallarta, Jal.",114
Emiratos Árabes Unidos,"Querétaro, Qro.",6
Emiratos Árabes Unidos,"San Luis Potosí, S.L.P.",1
Emiratos Árabes Unidos,"Silao, Gto.",7
Emiratos Árabes Unidos,"Tapachula, Chis.",1
Emiratos Árabes Unidos,"Toluca, Edo. Mex.",6
Emiratos Árabes Unidos,"Torreón, Coah.",1
Emiratos Árabes Unidos,"Tuxtla Gutiérrez, Chis.",1
Emiratos Árabes Unidos,"Veracruz, Ver.",1
Emiratos Árabes Unidos,"Villahermosa, Tab.",1
Emiratos Árabes Unidos,"Zihuatanejo, Gro.",5
Eritrea,"Aguascalientes, Ags.",6
Eritrea,"Cancún, Q. Roo",350
Eritrea,"Chihuahua, Chih.",1
Eritrea,Ciudad de México (AICM),337
Eritrea,"Guadalajara, Jal.",6
Eritrea,"Huatulco, Oax.",2
Eritrea,"Los Cabos, B.C.S.",18
Eritrea,"Mazatlán, Sin.",1
Eritrea,"Monterrey, N.L.",13
Eritrea,"Oaxaca, Oax.",1
Eritrea,"Puerto Vallarta, Jal.",27
Eritrea,"Querétaro, Qro.",16
Eritrea,"Silao, Gto.",7
Eritrea,"Tijuana, B.C.",17
Eritrea,"Torreón, Coah.",2
Eritrea,"Zihuatanejo, Gro.",1
Eslovaquia,"Acapulco, Gro.",23
Eslovaquia,"Aguascalientes, Ags.",47
Eslovaquia,"Cabo San Lucas, B.C.S.",5
Eslovaquia,"Cancún, Q. Roo",37144
Eslovaquia,"Chetumal, Q. Roo",1
Eslovaquia,"Chihuahua, Chih.",90
Eslovaquia,Ciudad de México (AICM),22987
Eslovaquia,"Ciudad Juárez, Chih.",2
Eslovaquia,"Cozumel, Q. Roo",184
Eslovaquia,"Culiacán, Sin.",1
Eslovaquia,"Del Norte, N.L.",4
Eslovaquia,"Durango, Dgo.",6
Eslovaquia,"Ensenada, B.C.",1
Eslovaquia,"Guadalajara, Jal.",566
Eslovaquia,"Guaymas, Son.",2
Eslovaquia,"Hermosillo, Son.",21
Eslovaquia,"Huatulco, Oax.",35
Eslovaquia,"La Paz, B.C.S.",5
Eslovaquia,"Loreto, B.C.S.",20
Eslovaquia,"Los Cabos, B.C.S.",938
Eslovaquia,"Manzanillo, Col.",9
Eslovaquia,"Mazatlán, Sin.",24
Eslovaquia,"Mérida, Yuc.",63
Eslovaquia,"Monterrey, N.L.",1009
Eslovaquia,"Morelia, Mich.",12
Eslovaquia,"Oaxaca, Oax.",13
Eslovaquia,"Puebla, Pue.",99
Eslovaquia,"Puerto Peñasco, Son.",2
Eslovaquia,"Puerto Vallarta, Jal.",970
Eslovaquia,"Querétaro, Qro.",122
Eslovaquia,"Saltillo, Coah.",35
Eslovaquia,"San Luis Potosí, S.L.P.",75
Eslovaquia,"Silao, Gto.",663
Eslovaquia,"Tampico, Tamps.",2
Eslovaquia,"Tapachula, Chis.",1
Eslovaquia,"Tijuana, B.C.",23
Eslovaquia,"Toluca, Edo. Mex.",82
Eslovaquia,"Torreón, Coah.",10
Eslovaquia,"Veracruz, Ver.",36
Eslovaquia,"Villahermosa, Tab.",8
Eslovaquia,"Zacatecas, Zac.",1
Eslovaquia,"Zihuatanejo, Gro.",30
Eslovenia,"Acapulco, Gro.",13
Eslovenia,"Aguascalientes, Ags.",9
Eslovenia,"Cabo San Lucas, B.C.S.",7
Eslovenia,"Cancún, Q. Roo",11819
Eslovenia,"Chetumal, Q. Roo",2
Eslovenia,"Chihuahua, Chih.",29
Eslovenia,Ciudad de México (AICM),11940
Eslovenia,"Ciudad del Carmen, Camp.",1
Eslovenia,"Cozumel, Q. Roo",56
Eslovenia,"Durango, Dgo.",2
Eslovenia,"Guadalajara, Jal.",293
Eslovenia,"Guaymas, Son.",1
Eslovenia,"Hermosillo, Son.",6
Eslovenia,"Huatulco, Oax.",6
Eslovenia,"La Paz, B.C.S.",1
Eslovenia,"Loreto, B.C.S.",8
Eslovenia,"Los Cabos, B.C.S.",332
Eslovenia,"Manzanillo, Col.",9
Eslovenia,"Mazatlán, Sin.",11
Eslovenia,"Mérida, Yuc.",64
Eslovenia,"Monterrey, N.L.",476
Eslovenia,"Morelia, Mich.",2
Eslovenia,"Oaxaca, Oax.",11
Eslovenia,"Puebla, Pue.",58
Eslovenia,"Puerto Vallarta, Jal.",169
Eslovenia,"Querétaro, Qro.",99
Eslovenia,"Saltillo, Coah.",19
Eslovenia,"San Luis Potosí, S.L.P.",124
Eslovenia,"Silao, Gto.",311
Eslovenia,"Tampico, Tamps.",4
Eslovenia,"Tapachula, Chis.",1
Eslovenia,"Tijuana, B.C.",15
Eslovenia,"Toluca, Edo. Mex.",8
Eslovenia,"Torreón, Coah.",8
Eslovenia,"Veracruz, Ver.",6
Eslovenia,"Villahermosa, Tab.",7
Eslovenia,"Zacatecas, Zac.",4
Eslovenia,"Zihuatanejo, Gro.",11
España,"Acapulco, Gro.",548
España,"Aguascalientes, Ags.",1369
España,"Cabo San Lucas, B.C.S.",82
España,"Campeche, Camp.",36
España,"Cancún, Q. Roo",1549240
España,"Chetumal, Q. Roo",20
España,"Chichen-Itzá, Yuc.",18
España,"Chihuahua, Chih.",1126
España,Ciudad de México (AICM),1686021
España,"Ciudad del Carmen, Camp.",115
España,"Ciudad Juárez, Chih.",27
España,"Ciudad Obregón, Son.",15
España,"Ciudad Victoria, Tamps.",5
España,"Cozumel, Q. Roo",2410
España,"Cuernavaca, Mor.",19
España,"Culiacán, Sin.",31
España,"Del Norte, N.L.",195
España,"Durango, Dgo.",102
España,"Ensenada, B.C.",18
España,"Felipe Ángeles (AIFA), Edo. Mex.",332
España,"Guadalajara, Jal.",26295
España,"Guaymas, Son.",9
España,"Hermosillo, Son.",678
España,"Huatulco, Oax.",97
España,"La Paz, B.C.S.",76
España,"Loreto, B.C.S.",190
España,"Los Cabos, B.C.S.",15109
España,"Manzanillo, Col.",127
España,"Matamoros, Tamps.",5
España,"Mazatlán, Sin.",398
España,"Mérida, Yuc.",7677
España,"Mexicali, B. C.",11
España,"Monclova, Coah.",19
España,"Monterrey, N.L.",27358
España,"Morelia, Mich.",355
España,"Nogales, Son.",1
España,"Nuevo Laredo, Tamps.",6
España,"Oaxaca, Oax.",398
España,"Piedras Negras, Coah.",90
España,"Puebla, Pue.",1310
España,"Puerto Peñasco, Son.",7
España,"Puerto Vallarta, Jal.",6721
España,"Querétaro, Qro.",4892
España,"Reynosa, Tamps.",9
España,"Saltillo, Coah.",221
España,"San Felipe, B.C.",16
España,"San Luis Potosí, S.L.P.",2404
España,"Silao, Gto.",4730
España,"Tampico, Tamps.",563
España,"Tapachula, Chis.",545
España,"Tijuana, B.C.",548
España,"Toluca, Edo. Mex.",3346
España,"Torreón, Coah.",972
España,"Tuxtla Gutiérrez, Chis.",51
España,"Uruapan, Mich.",6
España,"Veracruz, Ver.",1016
España,"Villahermosa, Tab.",342
España,"Zacatecas, Zac.",75
España,"Zihuatanejo, Gro.",270
Estados Unidos,"Acapulco, Gro.",74263
Estados Unidos,"Aguascalientes, Ags.",402872
Estados Unidos,"Cabo San Lucas, B.C.S.",108578
Estados Unidos,"Campeche, Camp.",1626
Estados Unidos,"Cancún, Q. Roo",38043745
Estados Unidos,"Chetumal, Q. Roo",2042
Estados Unidos,"Chichen-Itzá, Yuc.",50
Estados Unidos,"Chihuahua, Chih.",219507
Estados Unidos,"Ciudad Acuña, Coah.",582
Estados Unidos,Ciudad de México (AICM),13979437
Estados Unidos,"Ciudad del Carmen, Camp.",40908
Estados Unidos,"Ciudad Juárez, Chih.",3467
Estados Unidos,"Ciudad Obregón, Son.",11936
Estados Unidos,"Ciudad Victoria, Tamps.",3197
Estados Unidos,"Cozumel, Q. Roo",1729067
Estados Unidos,"Cuernavaca, Mor.",1162
Estados Unidos,"Culiacán, Sin.",16629
Estados Unidos,"Del Norte, N.L.",23217
Estados Unidos,"Durango, Dgo.",131278
Estados Unidos,"Ensenada, B.C.",13326
Estados Unidos,"Felipe Ángeles (AIFA), Edo. Mex.",191
Estados Unidos,"Guadalajara, Jal.",8558049
Estados Unidos,"Guaymas, Son.",22238
Estados Unidos,"Hermosillo, Son.",161490
Estados Unidos,"Huatulco, Oax.",105717
Estados Unidos,"La Paz, B.C.S.",39357
Estados Unidos,"Loreto, B.C.S.",244140
Estados Unidos,"Los Cabos, B.C.S.",13731993
Estados Unidos,"Los Mochis, Sin.",1549
Estados Unidos,"Manzanillo, Col.",172987
Estados Unidos,"Matamoros, Tamps.",2318
Estados Unidos,"Mazatlán, Sin.",792532
Estados Unidos,"Mérida, Yuc.",300437
Estados Unidos,"Mexicali, B. C.",10538
Estados Unidos,"Minatitlán, Ver.",166
Estados Unidos,"Monclova, Coah.",9749
Estados Unidos,"Monterrey, N.L.",1689474
Estados Unidos,"Morelia, Mich.",800796
Estados Unidos,"Nogales, Son.",1963
Estados Unidos,"Nuevo Laredo, Tamps.",1307
Estados Unidos,"Oaxaca, Oax.",201232
Estados Unidos,"Palenque, Chis.",4
Estados Unidos,"Piedras Negras, Coah.",6492
Estados Unidos,"Puebla, Pue.",108654
Estados Unidos,"Puerto Escondido, Oax.",506
Estados Unidos,"Puerto Peñasco, Son.",6766
Estados Unidos,"Puerto Vallarta, Jal.",9102750
Estados Unidos,"Querétaro, Qro.",657822
Estados Unidos,"Reynosa, Tamps.",2438
Estados Unidos,"Saltillo, Coah.",32615
Estados Unidos,"San Felipe, B.C.",22063
Estados Unidos,"San Luis Potosí, S.L.P.",328495
Estados Unidos,"Silao, Gto.",1487192
Estados Unidos,"Tampico, Tamps.",71780
Estados Unidos,"Tapachula, Chis.",5258
Estados Unidos,"Tijuana, B.C.",35368
Estados Unidos,"Toluca, Edo. Mex.",103460
Estados Unidos,"Torreón, Coah.",96914
Estados Unidos,"Tuxtla Gutiérrez, Chis.",4087
Estados Unidos,"Uruapan, Mich.",28483
Estados Unidos,"Veracruz, Ver.",107407
Estados Unidos,"Villahermosa, Tab.",42795
Estados Unidos,"Zacatecas, Zac.",316841
Estados Unidos,"Zihuatanejo, Gro.",565272
Estonia,"Acapulco, Gro.",7
Estonia,"Aguascalientes, Ags.",4
Estonia,"Cabo San Lucas, B.C.S.",2
Estonia,"Cancún, Q. Roo",15840
Estonia,"Chihuahua, Chih.",1
Estonia,Ciudad de México (AICM),7736
Estonia,"Ciudad del Carmen, Camp.",1
Estonia,"Cozumel, Q. Roo",83
Estonia,"Culiacán, Sin.",1
Estonia,"Durango, Dgo.",2
Estonia,"Guadalajara, Jal.",238
Estonia,"Hermosillo, Son.",2
Estonia,"Huatulco, Oax.",8
Estonia,"La Paz, B.C.S.",6
Estonia,"Los Cabos, B.C.S.",424
Estonia,"Manzanillo, Col.",7
Estonia,"Mazatlán, Sin.",14
Estonia,"Mérida, Yuc.",31
Estonia,"Mexicali, B. C.",1
Estonia,"Monterrey, N.L.",108
