Continente,Nacionalidad,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Oceania,Nueva Caledonia,1,1,0,0,0,0,0,2,0,0,0,4
Oceania,Nueva Zelandia,8235,10136,11557,14058,16634,16219,15288,15089,3415,3254,6938,120823
Oceania,Papua Nueva Guinea,10,3,22,17,29,27,18,10,8,6,14,164
Oceania,"Pitcairn, Islas",0,2,0,0,0,0,0,0,0,1,1,4
Oceania,Polinesia Francesa,1,2,0,0,0,0,2,0,0,2,0,7
Oceania,Republica de Micronesia (EUA),19,10,17,48,47,40,53,53,51,105,109,552
Oceania,Republica de Palaos (EUA),19,25,39,20,46,30,32,37,23,43,47,361
Oceania,"Salomon, Islas",4,2,9,3,7,22,12,3,5,0,5,72
Oceania,Samoa Americana,2,2,0,1,2,1,1,0,2,1,2,14
Oceania,Samoa Occidental,8,7,24,14,28,30,40,18,13,19,17,218
Oceania,Tokelau,0,1,0,0,1,0,0,0,0,0,1,3
Oceania,Tonga,11,14,15,33,32,35,43,54,21,43,33,334
Oceania,Tuvalu,3,0,13,2,2,3,6,0,0,0,3,32
Oceania,Vanuatu,3,4,2,2,5,11,11,5,0,4,13,60
Oceania,"Wallis y Futuna, Islas",2,0,2,1,0,0,1,2,0,0,0,8
